,No,Country,Continent,LifeExpect,GDPPC,MfgMn$,AgriMn$,CO2kt,HealthPC$,Pop_mn
120,121,North Macedonia,Europe,76.60243902439025,6070.388053582747,1688.51,1025.18,7956.1,421.38973999,2.08
121,122,Norway,Europe,82.95853658536586,76430.58894733385,25652.95,7285.68,37661.6,8007.35546875,5.35
122,123,Oman,Asia,78.002,19132.15227390936,7070.67,1756.57,75744.8,728.25482178,4.6
123,124,Pakistan,Asia,66.756,1437.1658337701017,40393.76,66357.25,184096.3,37.22461343,223.29
124,125,Panama,North America,77.81,16472.831754840576,3944.54,1643.55,13099.9,1318.03759766,4.23
125,126,Papua New Guinea,Oceania,65.474,2593.775797836931,418.55,4201.78,7467.5,60.31322479,9.54
126,127,Paraguay,South America,73.621,5807.838814141869,7128.13,3790.64,8101.6,415.88879395,6.53
127,128,Peru,South America,76.156,6955.881769636782,29338.39,15647.24,56972.2,366.56491089,32.82
128,129,Philippines,Asia,71.865,3413.8490672059,69774.33,33237.04,145871.3,142.23664856,110.38
129,130,Poland,Europe,77.90487804878049,15700.0135796738,100882.83,14123.39,294948.3,1014.03820801,37.97
130,131,Portugal,Europe,81.67560975609757,23330.817288931587,28547.15,5012.24,44564.7,2221.73095703,10.29
131,132,Puerto Rico,North America,79.063,32916.86680063901,50084.0,717.3,6522.299999999999,500.88366699000005,3.19
132,133,Qatar,Asia,80.99,62827.3969543275,14698.03,458.57,89486.8,2207.65429688,2.81
133,134,Romania,Europe,75.60731707317073,12957.999114221826,43095.83,11095.19,73942.8,738.5581665,19.37
134,135,Russian Federation,Europe,73.0839024390244,11536.2587890625,219583.59,59772.09,1703588.7,653.99993896,144.41
135,136,Rwanda,Africa,66.437,806.1280143946465,865.36,2438.46,1451.1,51.0831871,12.84
136,137,Samoa,Oceania,72.157,4308.301452876846,41.45,83.12,278.7,239.13195801,0.21
137,138,Sao Tome and Principe,Africa,68.523,1991.7382638518327,25.28,53.54,140.2,104.94572449,0.21
138,139,Saudi Arabia,Asia,77.304,23405.70610877359,104729.35,21463.36,526770.3,294.46008301,35.83
139,140,Senegal,Africa,68.526,1462.6783520711047,3485.35,3486.32,12297.8,65.75260925,16.0
140,141,Serbia,Europe,75.93658536585367,7417.206584877846,7048.15,3067.37,46030.1,641.03216553,6.95
141,142,Seychelles,Africa,74.04634146341465,16851.119764877054,87.58,44.59,595.3,786.65087891,0.1
142,143,Sierra Leone,Africa,60.255,506.606908156498,79.56,2370.71,1038.8,44.81790924,8.05
143,144,Singapore,Asia,83.59512195121953,66070.47066792265,73080.74,121.32,45163.2,2826.01000977,5.7
144,145,Slovak Republic,Europe,77.66585365853659,19381.592110484995,20906.05,1764.05,31032.5,1342.0748291,5.45
145,146,Slovenia,Europe,81.52926829268293,26016.07868391356,11205.75,1091.97,13665.0,2219.10058594,2.09
146,147,Solomon Islands,Oceania,70.382,2398.7729626860273,167.6,529.0,304.8,103.80370331,0.67
147,148,South Africa,Africa,66.175,6688.774746496453,48174.29,7623.52,446626.0,550.48022461,58.09
148,149,Spain,Europe,83.83170731707318,29581.51855132934,152173.53,34424.96,241886.5,2712.5090332,47.13
149,150,Sri Lanka,Asia,76.008,4082.6940475654847,14385.53,6459.15,23427.9,142.05116272,21.8
150,151,St. Kitts and Nevis,North America,71.572,23219.409046873836,60.67,9.89,247.5,1204.34094238,0.05
151,152,St. Lucia,North America,73.445,11726.677148357821,41.41,36.22,534.6,514.16442871,0.18
152,153,St. Vincent and the Grenadines,North America,72.835,8680.241982470661,36.88,63.76,235.1,375.02581787,0.1
153,154,Suriname,Africa,72.242,6690.044786012282,699.83,345.26,2656.82,592.97576904,0.6
154,155,Sweden,Europe,83.10975609756099,51939.42974452912,68360.13,7432.27,34964.6,5652.98974609,10.28
155,156,Switzerland,Europe,83.90487804878049,84121.93103044144,129294.88,4672.64,37376.3,9666.98046875,8.58
156,157,Tajikistan,Asia,70.867,889.0233718075257,1114.99,1732.14,8965.7,61.76633072,9.34
157,158,Tanzania,Africa,66.989,1050.93237304688,5188.38,16229.65,14960.8,39.56215286,59.87
158,159,Thailand,Asia,78.975,7628.576086993664,139375.51,44217.52,274466.7,294.46008301,71.31
159,160,Timor-Leste,Asia,68.268,1584.263822223333,37.19,287.18,617.6,79.26290131,1.28
160,161,Togo,Africa,60.901,848.3048269176365,996.45,1364.59,2442.3,49.42482758,8.24
161,162,Tonga,Oceania,70.871,4878.978188322465,26.46,100.54,161.5,229.94410706,0.1
